audit_case_id,case_id,audit_status,audit_method,source_rebuild_verified,source_record_correct,expected_independent_parse_verified,expected_answer_correct,strict_score_recomputed,strict_score_correct,error_owner,operational_severity,adjudication,audit_date,human_signoff_status,audit_notes
hc-dpd-audit-0016,hc_dpd_11d0527904967a3d_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0017,hc_dpd_140ff75003163380_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0018,hc_dpd_140ff75003163380_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (Pulvérisation, sac-sur-valve). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0019,hc_dpd_168da1f4cff927e0_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in brand_name, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0020,hc_dpd_1a7505ed2307af5c_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0021,hc_dpd_1e6fd69fae994a6d_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0022,hc_dpd_21828b9c0c8f0130_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0023,hc_dpd_2bc6e6c1885fc04c_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0024,hc_dpd_3389f2bf29575e6a_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0025,hc_dpd_33db518b6565e536_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0026,hc_dpd_37ab926b4da9aa1e_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0027,hc_dpd_37b23d6dd978e0f6_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0028,hc_dpd_40b574fa64c87b42_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in brand_name, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0029,hc_dpd_44b8aa41b04e55a9_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in routes, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0030,hc_dpd_459fc0afa213da7b_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0031,hc_dpd_5014b3caea449119_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0032,hc_dpd_58f6653bb011297d_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in brand_name, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0033,hc_dpd_61b9b01caf49e51d_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0034,hc_dpd_636549b40a317029_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0035,hc_dpd_6b32e5532fbd8ca1_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in routes, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0036,hc_dpd_6e17e93ca19678c1_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0037,hc_dpd_7719bcd652a89165_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0038,hc_dpd_81b2bbdab192abd6_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0039,hc_dpd_935daabeb01e4523_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in company, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0040,hc_dpd_b4fb3fb21fe042cb_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (FILM, SOLUBLE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0041,hc_dpd_b6e4c986a445e320_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0042,hc_dpd_c2fad45d252cf41d_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0043,hc_dpd_c70a9a51d4567621_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0044,hc_dpd_cc20d74d3c39f3eb_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0045,hc_dpd_cc217db844e40422_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0046,hc_dpd_cdab3f033b8be8a5_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, METERED DOSE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0047,hc_dpd_ce451f141937a2b7_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in brand_name, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0048,hc_dpd_d088b284691ec3f4_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0049,hc_dpd_daad616224da1d77_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0050,hc_dpd_dd1617e7f586a43d_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0051,hc_dpd_e1269013cc9e6040_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0052,hc_dpd_f0e25f797232a6c1_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0053,hc_dpd_f1a8a26e9669fd6b_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0054,hc_dpd_f25fa63a28e25ec4_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0055,hc_dpd_fddcdcd844931296_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The frozen source contains one official comma-bearing label (SPRAY, BAG-ON-VALVE). Rendered multi-values use ' | ' as their delimiter, so splitting at the comma changes the source label. The strict failure is correct."
hc-dpd-audit-0056,hc_dpd_65fe1d075edad974_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0057,hc_dpd_4f72628411be943f_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, product_status, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0058,hc_dpd_2d9a20117b359ef8_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0059,hc_dpd_e3fc2c9d385fa5fa_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0060,hc_dpd_cea29279b67a5748_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0061,hc_dpd_99d6e37e56d1ed51_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, product_status, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0062,hc_dpd_b2e334c6fd8206ce_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0063,hc_dpd_e149e34a1a1ba0c8_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0064,hc_dpd_a3841b4cdd570a93_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, brand_name, company, product_status, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0065,hc_dpd_1664548bce00e3eb_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0066,hc_dpd_9dad9b6ec055021e_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0067,hc_dpd_0f77b77b75cd95d4_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,medium,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild and expected-answer parse agree. Failed outputs alter source text or values in active_ingredients, product_status, and may also contain structural violations. The strict failures are correct."
hc-dpd-audit-0068,hc_dpd_b098f5344d27f8ea_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0069,hc_dpd_f4bc47d673dfd894_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0070,hc_dpd_88b03aeee6c7bbdc_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0071,hc_dpd_3e6092b767f70d7f_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0072,hc_dpd_852ef569eca0965f_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0073,hc_dpd_d900242496d8e21c_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0074,hc_dpd_8fa96a494d8bf1ff_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0075,hc_dpd_6751817f4af53f67_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0076,hc_dpd_bad3d6b00edb627d_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0077,hc_dpd_cb3c650bffba13d3_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0078,hc_dpd_277de732fb6500e9_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0079,hc_dpd_a46aff1c92799229_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0080,hc_dpd_37e5d8fcd2415f71_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,model,low,retain_result,2026-07-30,not_claimed,"The source facts and expected JSON are correct. Failed outputs violate the declared scalar/list contract, the distinct-fact requirement, or both. The strict failures are correct."
hc-dpd-audit-0081,hc_dpd_faeef7186ede897c_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0082,hc_dpd_c11595f8385723f4_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0083,hc_dpd_d0114751082d9428_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0084,hc_dpd_b3b12d9f0a6ec538_en,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0085,hc_dpd_658e5f53b36f4190_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
hc-dpd-audit-0086,hc_dpd_b071a3a191aaa1f2_fr,complete,hc_dpd_evidence_audit/1.0,yes,yes,yes,yes,yes,yes,none,none,retain_result,2026-07-30,not_claimed,"The frozen-source rebuild, independent expected-answer parse, and fresh strict scoring all agree. This all-model pass remains a valid control result."
